indicator_orig,indic_id,indicator_harmonized
Total official international support (official development assistance plus other official flows) to infrastructure,IPBES_SUA_sup_9.a.1_67,total official international support (official development assistance plus other official flows) to infrastructure
Proportion of medium and high-tech industry value added in total value added,IPBES_SUA_sup_9.b.1_68,proportion of medium and high-tech industry value added in total value added
"Proportion of population covered by a mobile network, by technology",IPBES_SUA_sup_9.c.1_69,"proportion of population covered by a mobile network, by technology"
Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,IPBES_SUA_sup_10.1.1_70,growth rates of household expenditure or income per capita among the bottom 40 percent of the population and the total population
"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",IPBES_SUA_sup_10.2.1_71,"proportion of people living below 50 percent of median income, by sex, age and persons with disabilities"
Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,IPBES_SUA_sup_10.3.1_72,proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law
Labour share of GDP,IPBES_SUA_sup_10.4.1_73,labour share of gross domestic product
Proportion of members and voting rights of developing countries in international organizations,IPBES_SUA_sup_10.6.1_74,proportion of members and voting rights of developing countries in international organizations
"Number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",IPBES_SUA_sup_10.7.2_75,"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people"
Number of people who died or disappeared in the process of migration towards an international destinationi,IPBES_SUA_sup_10.7.3_76,number of people who died or disappeared in the process of migration towards an international destinationi
"Proportion of the population who are refugees, by country of origin",IPBES_SUA_sup_10.7.4_77,"proportion of the population who are refugees, by country of origin"
"Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",IPBES_SUA_sup_10.b.1_78,"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)"
Ratio of land consumption rate to population growth rate,IPBES_SUA_sup_11.3.1_79,ratio of land consumption rate to population growth rate
"Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",IPBES_SUA_sup_11.4.1_80,"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)"
"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",IPBES_SUA_sup_11.5.1_81,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
"Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",IPBES_SUA_sup_11.5.2_82,"direct economic loss in relation to global gross domestic product, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters"
Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),IPBES_SUA_sup_11.6.2_83,annual mean levels of fine particulate matter in cities
"Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",IPBES_SUA_sup_11.7.2_84,"proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,IPBES_SUA_sup_11.a.1_85,number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space
Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,IPBES_SUA_sup_11.b.1_86,number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030
Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,IPBES_SUA_sup_11.b.2_87,proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
"Number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",IPBES_SUA_sup_12.1.1_88,"number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices"
"Material footprint, material footprint per capita, and material footprint per GDP",IPBES_SUA_sup_12.2.1_89,"material footprint, material footprint per capita, and material footprint per gross domestic product"
"Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",IPBES_SUA_sup_12.2.2_90,"domestic material consumption, domestic material consumption, and domestic material consumption per gross domestic product"
Food loss index,IPBES_SUA_sup_12.3.1.a_91,food loss index
food waste index,IPBES_SUA_sup_12.3.1.b_92,food waste index
Hazardous waste generated per capita,IPBES_SUA_sup_12.4.2.a_93,hazardous waste
"proportion of hazardous waste treated, by type of treatment",IPBES_SUA_sup_12.4.2.b_94,"proportion of hazardous waste treated, by type of treatment"
"National recycling rate, tons of material recycled",IPBES_SUA_sup_12.5.1_95,"national recycling rate, tons of material recycled"
Number of companies publishing sustainability reports,IPBES_SUA_sup_12.6.1_96,number of companies publishing sustainability reports
Degree of sustainable public procurement policies and action plan implementation,IPBES_SUA_sup_12.7.1_97,degree of sustainable public procurement policies and action plan implementation
Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,IPBES_SUA_sup_12.8.1_98,"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments"
Installed renewable energy-generating capacity in developing countries (in watts per capita),IPBES_SUA_sup_12.a.1_99,installed renewable energy-generating capacity in developing countries (in watts per capita)
Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,IPBES_SUA_sup_12.b.1_100,implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability
Amount of fossil-fuel subsidies per unit of GDP (production and consumption),IPBES_SUA_sup_12.c.1_101,amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption)
"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",IPBES_SUA_sup_13.1.1_102,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,IPBES_SUA_sup_13.1.2_103,number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030
Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,IPBES_SUA_sup_13.1.3_104,proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
"Number of countries with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",IPBES_SUA_sup_13.2.1_105,"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change"
Total greenhouse gas emissions per year,IPBES_SUA_sup_13.2.2_106,total greenhouse gas emissions per year
Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,IPBES_SUA_sup_13.3.1_107,"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments"
Amounts provided and mobilized in United States dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,IPBES_SUA_sup_13.a.1_108,amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025
