odd,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2,sources_old
,"number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature's contributions to people, including ecosystem functions and services",GBF_GB_H_6,GBF,1,Governance,Nature-based legislation,Ecosystem services,Specific mention of sustainable use of species/ecosystems,
,number of countries with policies to secure that [fish] mortalities are accounted for and kept within safe biological limits,SUA_2_90_65,IPBES,0,Governance,Nature-based legislation,Ecosystem services,Specific mention of sustainable use of species/ecosystems,IPBES
,"number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities",GBF_T9_H_29,GBF,1,Governance,Nature-based legislation,Ecosystem services,Specific mention of sustainable use of species/ecosystems,
,number of countries with regulations requiring recovered of depleted species,SUA_2_90_65,IPBES,0,Governance,Nature-based legislation,NA,NA,IPBES
,number of countries with systems to track and make public allocations for gender equality and women's empowerment,GBF_T22_CY_254;GBF_T23_CY_263,GBF,1,Human well-being,Equity,NA,NA,GBF
,number of days with snow water equivalent >100 mm (swe100) over the snow season (nov-mar for nh),IPCC_sup_51,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,
,"number of days with tmax >35°c or 40°c (tx35, tx40)",IPCC_sup_43,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,
,number of deaths caused by extreme climatic events,IPBES_GA2.3_sup_48,IPBES,0,Direct drivers,Natural drivers,NA,NA,IPBES
,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",GBF_T11_C_49;GBF_GB_CY_72;SDG_G1.5.1_7;SDG_G11.5.1_148;SDG_G13.1.1_175;IPBES_SUA_sup_1.5.1_6;IPBES_SUA_sup_11.5.1_81;IPBES_SUA_sup_13.1.1_102,GBF;SDG;IPBES,1,Direct drivers,Natural drivers,NA,NA,IPBES;GBF;SDG
,"number of disruptions to basic services, attributed to disasters",SDG_G11.5.3.b_151,SDG,1,Knowledge systems,Information on society and socio-economics,NA,NA,SDG
,number of events submitted to the world wildlife day website,CITES_G4.3.5_42,CITES,1,Knowledge systems,Specific information on human-nature relationship,,,
,number of extintions,GA_3_40_367,IPBES,0,biodiversity,Change in biodiversity,NA,NA,IPBES
,number of followers on cites social media platforms,CITES_G4.3.3_40,CITES,1,Knowledge systems,Specific information on human-nature relationship,,,
,number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,GBF_GB_CY_81,GBF,1,Human well-being,Cultural diversity,Knowledge systems,Information on society and socio-economics,GBF
,number of frost days below 0°c (fd),IPCC_sup_46,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,
,number of frost days: annual count of days when tn (daily minimum temperature) <0°c,IPCC_sup_10,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),GBF_T3_CY_133,GBF,1,ecosystems,Area conservation,NA,NA,GBF
,number of icing days: annual count of days when tx (daily maximum temperature) <0°c,IPCC_sup_9,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,"number of implemented cooperation agreements between the secretariat and multilateral environmental agreements (meas), including the biodiversity liaison group (blg) and other biodiversity-related conventions",CITES_G5.1.5_50,CITES,1,Governance,National/international cooperation,,,
,number of internationally recognized certificates of compliance for non-commercial purposes,GBF_GC_CY_92,GBF,1,Governance,National/international cooperation,NA,NA,GBF
,number of internet references to the ramsar convention,RAMSAR_OG4.16_53,RAMSAR,1,Knowledge systems,Specific information on human-nature relationship,,,
,number of internet references to world wetland day activities,RAMSAR_OG4.16_52,RAMSAR,1,Knowledge systems,Specific information on human-nature relationship,,,
,number of invasive alien species in national lists as per the global register of introduced and invasive species,GBF_T6_CY_166,GBF,1,Direct drivers,Invasive alien species,NA,NA,GBF
,number of invasive alien species introduction events,GBF_T6_C_35;GA_3_72_395;IPBES_GA3_sup_33,GBF;IPBES,1,Direct drivers,Invasive alien species,NA,NA,IPBES;GBF
,number of invasive species that are being controlled through management actions,RAMSAR_SG1.4_12,RAMSAR,1,Direct drivers,Invasive alien species,,,
,number of jobs,IPBES_GA2.3_sup_178,IPBES,0,Human assets,Coverage of basic needs,NA,NA,IPBES
,"number of key identified hashtags (e.g. #cites, #citescop19 #worldwildlifeday, etc.) on cites social media",CITES_G4.3.4_41,CITES,1,Knowledge systems,Specific information on human-nature relationship,,,
,"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",GBF_T8_CY_182;SDG_G13.b.1_182;IPBES_SUA_sup_13.b.1_109,GBF;SDG;IPBES,1,Governance,Nature-based legislation,NA,NA,IPBES;GBF;SDG
,number of managed bee hives,IPBES_GA2.3_sup_6,IPBES,0,biodiversity,Species conservation,NA,NA,IPBES
,number of meetings/cop where representatives of other international bodies report on relevant activities to cites parties,CITES_G4.4.1_43,CITES,1,Governance,National/international cooperation,,,
,"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",GBF_GB_CY_82,GBF,1,Human well-being,Cultural diversity,Knowledge systems,ILK,GBF
,number of msc chain of custody certification holders by distribution country,GBF_T5_CY_164;GBF_T9_CY_187,GBF,1,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA,GBF
,"number of new hiv infections per 1,000 uninfected population, by sex, age and key populations",SDG_G3.3.1_32,SDG,1,Human assets,Coverage of basic needs,Direct drivers,(Infectious) diseases,SDG
,"number of new, unique visits to the cites website",CITES_G4.3.1_38,CITES,1,Knowledge systems,Specific information on human-nature relationship,,,
,number of notifications to the parties issued by the cites secretariat relating to international actions for sustainable development that may have a bearing on achieving the goal of cites,CITES_G4.4.3_45,CITES,1,Governance,National/international cooperation,Ecosystem services,Specific mention of sustainable use of species/ecosystems,
,number of parties cooperating / collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities,CITES_G5.1.2_47,CITES,1,Governance,National/international cooperation,,,
,number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements,CITES_G5.3.1_52,CITES,1,Governance,Nature-based funding,,,
,"number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap), also included in the global and national strategies for plant conservation under cbd programme",CITES_G4.2.1_37,CITES,1,Governance,National/international cooperation,,,
,number of parties making use of the simplified procedures provided for in resolution conf. 12.3 (rev. cop19),CITES_G3.1.2_22,CITES,1,Governance,National/international cooperation,,,
,number of parties meeting their obligations with regard to their assessed contributions to the trust fund,CITES_G3.3.1_26,CITES,1,Governance,National/international cooperation,,,
,number of parties reporting in implementation reports of activities taken to address corruption,CITES_G3.6.1_30,CITES,1,Governance,Broken governance,,,
,"number of parties sharing information relevant to the implementation of cites (e.g. shared databases, data visualization/software, information-sharing focused tools, etc.)",CITES_G2.2.5_14,CITES,1,Governance,National/international cooperation,,,
,number of parties subject to cites recommendations to suspend trade,CITES_G1.1.2_2,CITES,1,Governance,Nature-based legislation,,,
,number of parties that are in category 1 under the national legislation project,CITES_G1.1.1_1,CITES,1,Governance,Nature-based legislation,,,
,number of parties that currently lack information for their identified key species most relevant to the implementation of the convention and need assistance to address them,CITES_G2.5.2_20,CITES,1,Governance,Nature-based legislation,Knowledge systems,Information on biodiversity,
,number of parties that have adopted an electronic system for the issuance of permits,CITES_G3.1.3_23,CITES,1,Governance,Legislation/governance,,,
,number of parties that have adopted standard procedures for making non-detriment findings (ndfs),CITES_G2.1.1_7,CITES,1,Governance,Nature-based legislation,,,
,number of parties that have adopted standard transparent procedures for the timely issuance of permits in accordance with article vi of the convention,CITES_G3.1.1_21,CITES,1,Governance,Nature-based legislation,,,
,"number of parties that have designated at least one management authority, independent scientific authority and enforcement focal points in place",CITES_G1.2.1_3,CITES,1,Governance,Nature-based legislation,,,
,number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations,CITES_G1.3.1_4,CITES,1,Governance,Nature-based legislation,,,
,"number of parties that have included the legal acquisition finding obligation in their national regulatory framework, as recommended by resolution conf. 18.7 (rev. cop19)",CITES_G2.1.3_9,CITES,1,Governance,Nature-based legislation,,,
,number of parties that have undertaken research (including for non-detriment findings) on their identified key species most relevant to the implementation of the convention,CITES_G2.5.1_19,CITES,1,Governance,Nature-based legislation,Knowledge systems,Information on biodiversity,
,"number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",SDG_G12.4.1_165,SDG,1,Governance,Nature-based legislation,NA,NA,SDG
,number of parties where criminal offences relating to illegal trade in wildlife (such as illegal hunting/harvest and wildlife trafficking) are recognized as a serious crime,CITES_G3.4.1_28,CITES,1,Governance,Broken governance,,,
,number of parties which have acceded to the ramsar convention,RAMSAR_OG4.18_68,RAMSAR,1,Governance,National/international cooperation,,,
,"number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements",CITES_G5.1.1_46,CITES,1,Governance,National/international cooperation,,,
,number of parties who report improvements in their implementation following targeted capacity-building efforts,CITES_G3.7.2_32,CITES,1,Governance,National/international cooperation,,,
,number of parties with information on cites and its requirements on their official websites,CITES_G4.3.2_39,CITES,1,Knowledge systems,Specific information on human-nature relationship,,,
,"number of parties with training programmes and information resources in place to implement cites, including the making of non-detriment and legal acquisition findings, issuance of permits and enforcement",CITES_G3.2.1_24,CITES,1,Governance,National/international cooperation,,,
,number of people employed in forest industry,IPBES_GA2.3_sup_223,IPBES,0,Human assets,Coverage of basic needs,NA,NA,IPBES
,"number of people employed in garment industry (include fibre, cotton industry)",IPBES_GA2.3_sup_224,IPBES,0,Human assets,Coverage of basic needs,NA,NA,IPBES
,number of people living on less than 1.90 usd per day,GEO_21_8_241,GEO,0,Human assets,State of economy,NA,NA,GEO
,number of people migrating,IAS_2_5_11,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA,IPBES
,number of people requiring interventions against neglected tropical diseases,SDG_G3.3.5_36,SDG,1,Human well-being,Healthy living conditions,Direct drivers,(Infectious) diseases,SDG
,"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",GBF_T9_C_44,GBF,1,Human assets,Infrastructure (build-up area),Ecosystem services,Specific mention of sustainable use of species/ecosystems,GBF
,number of people who died or disappeared in the process of migration towards an international destination,SDG_G10.7.3_138,SDG,1,Governance,Broken governance,NA,NA,SDG
,number of people who died or disappeared in the process of migration towards an international destinationi,IPBES_SUA_sup_10.7.3_76,IPBES,0,Governance,Broken governance,NA,NA,IPBES
,number of people without access to safe sanitation services,GEO_16_17_189,GEO,0,Human well-being,Healthy living conditions,NA,NA,GEO
,number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,GBF_T13_C_55,GBF,1,biodiversity,Genetic resources,NA,NA,GBF
,number of photos taken by the public in an advert to indicate aesthetic values,VA_3_48_73,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,GBF_GA_CY_46;GBF_T9_CY_189;IPBES_SUA_sup_2.5.1_20,GBF;IPBES,1,biodiversity,Genetic resources,NA,NA,IPBES;GBF
,number of plant and animal genetic resources secured in medium or long-term conservation facilities,GBF_T4_C_26;IPBES_GA3_sup_52,GBF;IPBES,1,biodiversity,Genetic resources,NA,NA,IPBES;GBF
,number of plant genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,NA,NA,NA,biodiversity,Genetic resources,NA,NA,SDG
,"number of practical tools and guidance documents for wetland conservation and wise use, and other key scientific documentation, which has been developed by either strp, parties and others, and is available via the ramsar website",RAMSAR_OG4.14_46,RAMSAR,1,Governance,National/international cooperation,,,
,number of protected area management effectiveness (pame) assessments,GA_3_72_395;VA_3_27_60;IPBES_GA3_sup_47,IPBES,0,ecosystems,Area conservation,NA,NA,IPBES
,number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF_T22_CY_257;GBF_T23_CY_264,GBF,1,ecosystems,Area conservation,NA,NA,GBF
,"number of protected areas, parks and gardens",IPBES_GA2.3_sup_254,IPBES,0,ecosystems,Area conservation,NA,NA,IPBES
,number of publications,SUA_4_2_109,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA,IPBES
,number of ramsar sites removed from the montreux record,RAMSAR_SG2.7_25,RAMSAR,1,ecosystems,State of ecosystems (integrity),,,
,number of ramsar sites reported by parties to the ramsar secretariat of negative human-induced change or likely change in the ecological character of ramsar sites pursuant to article 3.2,RAMSAR_SG2.7_27,RAMSAR,1,Governance,National/international cooperation,ecosystems,State of ecosystems (integrity),
,number of ramsar sites that have been designated,RAMSAR_SG2.6_21,RAMSAR,1,Governance,National/international cooperation,,,
x,"number of ramsar sites that have effective, implemented management planning",RAMSAR_SG2.5_15,RAMSAR,1,Governance,National/international cooperation,,,
,"number of ramsar sites that have effective, implemented management plans",RAMSAR_SG2.5_14,RAMSAR,1,Governance,National/international cooperation,ecosystems,Area conservation,
,number of ramsar sites designated for the following under represented wetland types: karst and other subterranean hydrological systems; coral reefs; wet grasslands; peatland; sea-grass beds; mangroves; temporary pools; bivalve (shellfish) reefs,RAMSAR_SG2.6_24,RAMSAR,1,Governance,National/international cooperation,,,
,number of rare or threatened species,VA_2_38_28,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,number of regional initiatives successfully implemented,RAMSAR_OG4.15_48;RAMSAR_OG4.18_63,RAMSAR,1,Governance,National/international cooperation,,,
,number of relevant ramsar handbooks downloaded from the ramsar web-site and subtotals by country and ramsar region of the source of these downloads,RAMSAR_OG4.14_45,RAMSAR,1,Governance,National/international cooperation,,,
,number of reports shared by the parties in compliance with the resolutions of the convention,CITES_G2.2.4_13,CITES,1,Governance,Nature-based legislation,,,
,number of research studies involving economic valuation,GA_3_15_329;IPBES_GA3_sup_6,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA,IPBES
,number of residents living in floodplains,GEO_17_8_200,GEO,0,Knowledge systems,Information on society and socio-economics,NA,NA,GEO
,"number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation",UNCCD_SO5.6_15,UNCCD,1,Governance,National/international cooperation,,,
,number of scientists per population,GBF_GD_CY_97,GBF,1,Knowledge systems,Information on society and socio-economics,NA,NA,GBF
,"number of seizures made through parties collaboration across range, transit and destination states, to address entire illegal trade chains",CITES_G3.5.1_29,CITES,1,Governance,Nature-based legislation,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
,number of social media links to world wetland day,RAMSAR_OG4.16_54,RAMSAR,1,Knowledge systems,Specific information on human-nature relationship,,,
,number of species,IPBES_GA2.3_sup_273,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,number of species at risk of extinction,IAS_4_22_102,IPBES,0,Knowledge systems,Information on biodiversity,biodiversity,State of biodiversity,IPBES
,number of species extinctions,GA_1_52_19;IAS_4_22_102,IPBES,0,biodiversity,Change in biodiversity,NA,NA,IPBES
,number of strp briefing papers downloaded from the ramsar web site and subtotals by country and ramsar region of the source of these downloads,RAMSAR_OG4.14_44,RAMSAR,1,Governance,National/international cooperation,,,
,number of studies on ias available per region,IAS_2_13_15,IPBES,0,Knowledge systems,Information on biodiversity,biodiversity,Invasive alien species,IPBES
,number of summer days: annual count of days when tx (daily maximum temperature) >25°c,IPCC_sup_13,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,number of surveys of cites listed species undertaken by exporting states to support non-detrimental findings,SUA_4_65_122,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA,IPBES
,"number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf. 16.7 (rev. cop17) on non-detriment findings related to - the population status of appendix-ii species; - the trends and impact of trade upon appendix-ii species; and - the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans",CITES_G2.2.1_10,CITES,1,Knowledge systems,Information on biodiversity,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
,number of threatened species by species group,GBF_GA_CY_36,GBF,1,biodiversity,Species conservation,NA,NA,GBF
,number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,CITES_G5.1.4_49,CITES,1,Governance,National/international cooperation,,,
,number of tourists,IAS_2_5_11,IPBES,0,Human well-being,Recreation,NA,NA,IPBES
,"number of tourists, scientists and facilities per biogeographic region",IAS_6_21_146,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA,IPBES
,number of traded live animals/plants listed in cites databases,IPBES_GA2.3_sup_218,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,IPBES
,number of transboundary ramsar sites that have been designated,RAMSAR_SG2.6_23,RAMSAR,1,Governance,National/international cooperation,,,
,number of tropical nights: annual count of days when tn (daily minimum temperature) >20°c,IPCC_sup_14,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,number of undernourished people,IPBES_GA2.3_sup_50,IPBES,0,Human well-being,Healthy living conditions,Human assets,Coverage of basic needs,IPBES
,number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,GBF_GC_CY_89,GBF,1,biodiversity,Genetic resources,NA,NA,GBF
,number of validated publications on migratory species conservation actively disseminated for policy-relevant use,NA,NA,NA,Knowledge systems,Information on biodiversity,NA,NA,CMS
,"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",SDG_G16.10.1_232,SDG,1,Human assets,Information on society and socio-economics,Governance,Broken governance,
x,"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",NA,NA,NA,,,,,SDG
,"number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",SDG_G16.2.2_217,SDG,1,Human assets,Information on society and socio-economics,Governance,Broken governance,SDG
,"number of victims of intentional homicide per 100,000 population, by sex and age",SDG_G16.1.1_212,SDG,1,Human assets,Information on society and socio-economics,Governance,Broken governance,SDG
,number of visitors to national parks in the eeuu,IPBES_GA2.3_sup_11,IPBES,0,Ecosystem services,Nature contribution,Human well-being,Recreation,IPBES
,number of vulnerable marine ecosystems,GEO_14_16_155,GEO,0,ecosystems,State of ecosystems,NA,NA,GEO
,number of widespread phyla for which no information was available for a particular region,IAS_2_13_16,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA,IPBES
,number of wildlife pictures posted on a photo-sharing website,VA_3_48_73,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA,IPBES
,number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared cites listed species,CITES_G2.2.3_12;CITES_G3.2.2_25,CITES,1,Governance,National/international cooperation,,,
,number of world natural heritage sites per country per year,GA_1_52_19,IPBES,0,Governance,Nature-based legislation,Knowledge systems,Information on society and socio-economics,IPBES
,number of world wetland day activities or events reported to the secretariat,RAMSAR_OG4.16_51,RAMSAR,1,Knowledge systems,Specific information on human-nature relationship,,,
,number of written ndfs submitted and number of parties submitting ndfs for posting in the cites online database,CITES_G2.1.2_8,CITES,1,Governance,National/international cooperation,,,
,numbers of livestock and use rate,IPBES_GA2.3_sup_126,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,numbers of scientific publications on biodiversity,GA_3_49_379,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA,IPBES
,nutrient pollution,GEO_14_15_152,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,nutrient runoff into oceans (n and p),GEO_20_8_234,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,nutrition,GEO_3_5_16,GEO,0,Human well-being,Healthy living conditions,NA,NA,GEO
,nutrition derived from fish,IPBES_GA2.3_sup_173,IPBES,0,Human well-being,Healthy living conditions,NA,NA,IPBES
,"nutritional output (calories, nutrients)",IPBES_GA2.3_sup_171,IPBES,0,Human well-being,Healthy living conditions,NA,NA,IPBES
,o recovery,GEO_5_17_42,GEO,0,ecosystems,Abiotic conditions,NA,NA,GEO
,o3 concentration,GEO_5_17_41;GEO_5_17_42,GEO,0,ecosystems,Abiotic conditions,NA,NA,GEO
,o3 emissions,GEO_20_6_228,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,observation-based estimate of global mean surface air temperature (gmst),IPCC_1_45_19,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,occurrence of heat-related human mortality,IPCC_1_62_25,IPCC,0,Human well-being,Healthy living conditions,Direct drivers,Natural drivers,IPCC
,ocean acidification,GBF_GB_CY_65;GEO_2_26_7,GBF;GEO,1,Direct drivers,Pollution,NA,NA,GEO;GBF
,ocean health index,GBF_GA_CY_31;GA_2.2_38_74;GA_4_155_228;GA_6_86_279;GEO_6_8_48;IPBES_GA2.3_sup_165,GBF;IPBES;GEO,1,ecosystems,State of ecosystems (freshwater/coastal),NA,NA,IPBES;GEO;GBF
,ocean heat content,IPCC_1_13_4;IPCC_1_70_30;IPCC_2_26_47;IPCC_2_63_104;IPCC_3_51_187,IPCC,0,ecosystems,State of ecosystems,Direct drivers,Climate change,IPCC
,ocean heat content and specific humidity,GEO_2_26_7,GEO,0,ecosystems,Abiotic conditions,NA,NA,GEO
,ocean heat content ohc,IPCC_9_37_432,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,ocean ph,IPCC_4_18_229,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,ocean salinity,IPCC_3_84_212,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,ocean temperature,IPCC_3_51_187,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,ocean-colour,IPCC_2_76_123,IPCC,0,ecosystems,State of ecosystems (marine),NA,NA,IPCC
,oceanic carbon sequestration,GA_2.2_37_70;IPBES_GA2.2_sup_33,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,oceanic niño index (oni),IPCC_2_86_146,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,ocenan ph,IPCC_2_81_132,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,odss and ghgs,GEO_5_17_41,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,oecd better life index,GA_4_131_209,IPBES,0,Human well-being,Wellness,NA,NA,IPBES
,official development assistance on conservation and sustainable use of biodiversity,SDG_G15.a.1.a_207;SDG_G15.b.1.a_209;IPBES_SUA_sup_15.a.1.a_133;IPBES_SUA_sup_15.b.1.a_135,SDG;IPBES,1,Governance,Nature-based legislation,NA,NA,IPBES;SDG
,official development assistance provided in support of the cbd objectives,GA_3_51_381;IPBES_GA3_sup_67,IPBES,0,Governance,Legislation/governance,NA,NA,IPBES
,oil (kg),IPBES_GA2.3_sup_191,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,old ship logbooks,IPCC_2_58_90,IPCC,0,Knowledge systems,Specific information on human-nature relationship,NA,NA,IPCC
,one-in-20 year return value of maximum five-day precipitation,IPCC_sup_33,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,one-in-20 year return value of maximum one-day precipitation,IPCC_sup_32,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,one-in-20 year return value of monthly maximum value of daily maximum temperature,IPCC_sup_17,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,one-in-20 year return value of monthly maximum value of daily minimum temperature,IPCC_sup_20,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,one-in-20 year return value of monthly minimum value of daily maximum temperature,IPCC_sup_18,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,one-in-20 year return value of monthly minimum value of daily minimum temperature,IPCC_sup_19,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,online interest in biodiversity (proportion of google searches),GA_3_15_329;IPBES_GA3_sup_4,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA,IPBES
,opening up of forest canopy,GA_2.2_65_113,IPBES,0,Direct drivers,Land conversion,NA,NA,IPBES
,organisms` size or growth,GA_4_34_176,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,ornamental plants sold units (number/year or kg/year),IPBES_GA2.3_sup_206,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,other governance-related indicator on cms implementation,CMS_G1.3_5,CMS,1,Governance,Nature-based legislation,,,
,other living organism for assistance (number of horse/household),IPBES_GA2.3_sup_211,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,,,
x,"other living organism for assistance number, stock density (number of horse/household)",NA,NA,NA,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),GBF_T1_CY_107,GBF,1,Governance,Nature-based legislation,NA,NA,GBF
,outcome-based indicators(s) related to (extent of) wetland restoration possibly including remote sensing as appropriate,RAMSAR_SG3.12_41,RAMSAR,1,ecosystems,Restoration efforts,,,
,output from pollinator dependent crops,IPBES_GA2.3_sup_12,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,overall population trends of wetland taxa,NA,NA,NA,biodiversity,Change in biodiversity,NA,NA,RAMSAR
,overall species abundance,GA_1_52_19,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
x,overdisperion/ underdispersion,NA,NA,NA,biodiversity,Change in biodiversity,Direct drivers,Invasive alien species,IPBES
,overdisperion/underdispersion,IPBES_GA2.3_sup_270,IPBES,0,biodiversity,Change in biodiversity,Direct drivers,Invasive alien species,
,overexploitation of resources by outsiders and locals,GA_2.2_6_56,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,IPBES
,pacific decadal oscillation (pdo),IPCC_2_89_154;IPCC_3_80_205,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,pacific decadal variability (pdv),IPCC_3_78_203;IPCC_3_80_206;IPCC_3_81_208,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,paleo-temperature records,IPCC_2_29_62,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,palmer drought severity index (pdsi),IPCC_8_66_403;IPCC_11_58_543;IPCC_11_60_549;IPCC_sup_40,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,pan evaporation measurements,IPCC_11_61_551,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,"parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",SDG_G4.5.1_62,SDG,1,Human assets,Coverage of basic needs,NA,ILK,SDG
,"participation rate in organized learning (one year before the official primary entry age), by sex",SDG_G4.2.2_59,SDG,1,Human assets,Coverage of basic needs,NA,NA,SDG
,"participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",SDG_G4.3.1_60,SDG,1,Human assets,Coverage of basic needs,,,
x,"participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",NA,NA,NA,Human assets,Coverage of basic needs,NA,NA,SDG
,passenger and freight volumes by mode of transport,GA_3_128_421,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA,IPBES
,"passenger and freight volumes, by mode of transport",SDG_G9.1.2_118;IPBES_SUA_sup_9.1.2_60,SDG;IPBES,1,Human assets,Infrastructure (build-up area),NA,NA,IPBES;SDG
,pearls sold units (number/year),IPBES_GA2.3_sup_204,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
