indicator_harmonized,indic_ids,sources,policy
livestock density of animals (chickens),IPBES_GA2.1_sup_33,IPBES,0
livestock density of cattle,IPBES_GA2.1_sup_32,IPBES,0
livestock indigenous animals,IPBES_GA2.1_sup_31,IPBES,0
living conditions in the arctic,VA_3_63_79,IPBES,0
living planet index,GBF_GA_C_8;GBF_T4_C_25;GBF_T2_CY_129;GA_1_52_19;GA_4_144_217;GA_5_10_235;GA_5_34_243;GA_3_41_369;SUA_4_256_160;GEO_6_16_52;GEO_6_16_54;IPBES_GA2.2_sup_72;IPBES_GA3_sup_49,GBF;IPBES;GEO,1
living planet index (freshwater),IPBES_GA2.2_sup_70,IPBES,0
living planet index (marine),IPBES_GA2.2_sup_71,IPBES,0
living planet index (migratory fish),GEO_9_18_79,GEO,0
living planet index (migratory species),CMS_G3.8_13,CMS,1
living planet index (terrestrial),IPBES_GA2.2_sup_73,IPBES,0
living planet index (used species),GBF_GB_C_11;GBF_T5_C_31;GBF_T9_C_46,GBF,1
local species richness,GA_2.2_37_70;GA_2.2_70_120;IAS_4_22_102,IPBES,0
local species richness (biotime),IPBES_GA2.2_sup_40,IPBES,0
local species richness (predicts),GBF_GA_CY_43;GA_2.2_45_85;IPBES_GA2.2_sup_41,GBF;IPBES,1
local wind circulations,IPCC_12_18_602,IPCC,0
loss of lichen diversity,SUA_4_47_115,IPBES,0
loss of mass of mountain glaciers and polar ice sheets,GEO_4_13_34,GEO,0
loss of older ice,IPCC_2_56_85,IPCC,0
loss of phylogenetic diversity,GBF_GA_CY_52;GBF_GB_CY_58,GBF,1
low income,GEO_22_21_257,GEO,0
low-elevation coastal zones,GEO_17_8_200,GEO,0
low-flows days,IPCC_12_17_601,IPCC,0
macroalgal canopy cover and composition,GBF_GA_CY_17,GBF,1
macroeconomic dashboard,SDG_G17.13.1_250,SDG,1
macroinvertebrate-based indices,IAS_5_130_134,IPBES,0
magnitude of shoreline retreat by a pre-determined planning horizon such as 50 or 100 years into the future,IPCC_12_20_606,IPCC,0
maintenance and restoration of connectivity of natural ecosystems,GBF_T2_C_16,GBF,1
maize price,GEO_8_26_75,GEO,0
"malaria incidence per 1,000 population",SDG_G3.3.3_34,SDG,1
malnutrition,GEO_3_12_24,GEO,0
mammalian body mass,IPBES_GA2.2_sup_79,IPBES,0
mammalian range size,GA_2.2_37_70;IPBES_GA2.2_sup_66,IPBES,0
management effectiveness of areas protected specifically for migratory species,CMS_G3.10_19,CMS,1
mangrove forest area,GA_2.2_37_70;GA_2.2_38_74;GA_2.2_70_120;VA_2_76_48;IPBES_GA2.2_sup_15;IPBES_GA3_sup_40,IPBES,0
manufacturing employment as a proportion of total employment,SDG_G9.2.2_120;IPBES_SUA_sup_9.2.2_62,SDG;IPBES,1
manufacturing value added as a proportion of gross domestic product and per capita,SDG_G9.2.1_119;IPBES_SUA_sup_9.2.1_61,SDG;IPBES,1
marine air temperature,GEO_2_26_7,GEO,0
marine cloudiness over mc,IPCC_8_46_393,IPCC,0
marine litter,GEO_7_19_66,GEO,0
marine net primary production,GA_2.2_37_70;IPBES_GA2.2_sup_31,IPBES,0
marine nutirent pollution,GEO_20_8_234,GEO,0
marine sediment cores,IPCC_2_29_60;IPCC_2_89_153,IPCC,0
marine sediments,IPCC_2_57_89;IPCC_2_61_98,IPCC,0
marine sediments below the ice sheet,IPCC_2_61_99,IPCC,0
marine species richness,GBF_GA_CY_44,GBF,1
marine stewardship council certified catch,GBF_T5_CY_156;SUA_2_90_65,GBF;IPBES,1
marine stewardship council certified fisheries,GA_4_152_225;GA_3_15_329;IPBES_GA3_sup_21,IPBES,0
marine stewardship council engaged fisheries,GA_3_72_395,IPBES,0
marine stocks,GA_2.3_42_143,IPBES,0
marine trophic index (mti),GA_1_52_19;GA_2.2_59_101;GA_3_15_329;GA_3_55_389;IPBES_GA2.2_sup_80;IPBES_GA3_sup_22,IPBES,0
material flow accounting,GEO_17_20_212,GEO,0
material flow analysis,GEO_17_20_212,GEO,0
material footprint per capita,GBF_T16_C_59,GBF,1
"material footprint, material footprint per capita, and material footprint per gross domestic product",SDG_G8.4.1_103;SDG_G12.2.1_161;IPBES_SUA_sup_8.4.1_47;IPBES_SUA_sup_12.2.1_89,SDG;IPBES,1
material ncp,GA_2.2_42_82,IPBES,0
material wealth,SUA_4_149_140,IPBES,0
maternal mortality ratio,SDG_G3.1.1_28,SDG,1
maximum daytime heat index,IPCC_12_71_692,IPCC,0
maximum fire weather index,IPCC_12_66_682,IPCC,0
maximum five-day precipitation,IPCC_sup_22,IPCC,0
maximum number of consecutive days with less than 1 mm of precipitation per day,IPCC_sup_27,IPCC,0
maximum number of consecutive days with more than or equal to 1 mm of precipitation per day,IPCC_sup_28,IPCC,0
maximum one-day precipitation,IPCC_sup_21,IPCC,0
maximum temperatures,IPCC_12_49_649,IPCC,0
mean air temperature,IPCC_11_39_524,IPCC,0
mean annual change in above-ground biomass,GA_2.2_37_70,IPBES,0
mean annual precipitation,IAS_3_8_84,IPBES,0
mean annual temperature,IAS_3_8_84,IPBES,0
mean arctic sea ice area,IPCC_2_57_88,IPCC,0
mean body length,IAS_4_22_102,IPBES,0
mean body mass,SUA_2_97_80,IPBES,0
mean gsat,IPCC_1_45_19,IPCC,0
mean length of fish,GA_1_52_19;GA_2.2_70_120,IPBES,0
mean polar sea ice extent,GA_3_51_381;IPBES_GA3_sup_38,IPBES,0
mean species abundance (msa),GBF_GA_CY_38;GA_1_52_19;GA_2.2_37_70;GA_2.2_46_88;GA_5_34_243;IPBES_GA2.2_sup_42,GBF;IPBES,1
mean species abundance (msa) (hotspots),IPBES_GA2.2_sup_43,IPBES,0
mean species abundance (msa) (indigenous lands),IPBES_GA2.2_sup_44,IPBES,0
measure of income,GEO_22_21_257,GEO,0
measured concentrations of o in the upper stratospere,GEO_5_17_41,GEO,0
medicinal species as a fraction of total vascular plant species,GA_2.3_39_137,IPBES,0
megafaunal range size,GA_2.2_37_70;IPBES_GA2.2_sup_67,IPBES,0
merchandise exports,GA_2_24_29,IPBES,0
mibid index,GA_6_122_285,IPBES,0
migration net,IPBES_GA2.1_sup_26,IPBES,0
migratory birds threatened or near threatened on the red list index,GA_3_150_436,IPBES,0
millenium development goals indicators,GEO_16_15_183,GEO,0
minimum temperature,IPCC_11_44_532,IPCC,0
mobile cellular subscriptions,IPBES_GA2.1_sup_11,IPBES,0
monetary benefits received in accordance with applicable internationally agreed access and benefit-sharing instruments,GBF_GC_H_7,GBF,1
monthly drought code fire index,IPCC_12_66_682,IPCC,0
monthly maximum value of daily maximum temperature,IPCC_sup_1,IPCC,0
monthly maximum value of daily minimum temperature,IPCC_sup_4,IPCC,0
monthly minimum value of daily maximum temperature,IPCC_sup_2,IPCC,0
monthly minimum value of daily minimum temperature,IPCC_sup_3,IPCC,0
montreal protocol,IPBES_GA2.1_sup_63,IPBES,0
mortality from unintentional poisoning,GEO_20_7_232,GEO,0
mortality rate attributable to household and ambient air pollution,GEO_20_7_232,GEO,0
"mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",SDG_G3.4.1_37,SDG,1
mortality rate attributed to household and ambient air pollution,GBF_T11_CY_202;SDG_G3.9.1_46,GBF;SDG,1
mortality rate attributed to unintentional poisoning,SDG_G3.9.3_48,SDG,1
"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)",GBF_T11_C_50;SDG_G3.9.2_47,GBF;SDG,1
mortality rate under 5,GA_2_24_29,IPBES,0
mountain glaciers,GEO_4_13_34,GEO,0
mountain green cover index,GBF_GA_CY_5;SDG_G15.4.2.a_199;IPBES_SUA_sup_15.4.2_126,GBF;SDG;IPBES,1
multidimensional poverty index,GA_3_97_413;SUA_4_149_138,IPBES,0
municipal solid waste collected and managed,GBF_T7_CY_172,GBF,1
"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",GBF_T7_CY_179,GBF,1
national accounts reflecting state of biodiversity and ecosystem services,VA_4_28_109,IPBES,0
national funding for resourcing of biological invasions policy and management implementation,IAS_6_17_143,IPBES,0
national greenhouse inventories from land use and land use change,GBF_T8_C_42;GBF_T8_CY_182,GBF,1
national oceanic and atmospheric administration annual greenhouse gas index (aggi),GEO_5_18_43,GEO,0
"national recycling rate, tons of material recycled",SDG_G12.5.1_168;IPBES_SUA_sup_12.5.1_95,SDG;IPBES,1
nationally maintained research vessels,GBF_GD_CY_100,GBF,1
native newcomer species arrive,GA_2.2_5_55;GA_2.2_65_113,IPBES,0
natural habitat in agriculture,GA_2.3_42_143,IPBES,0
natural medicinal products and manufactured bio-derived medicines,GA_2.3_42_143,IPBES,0
nature risk index,VA_6_64_156,IPBES,0
neonatal mortality rate,SDG_G3.2.2_31,SDG,1
net climate feedback,IPCC_7_56_335,IPCC,0
"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)",SDG_G17.2.1_238;IPBES_SUA_sup_17.2.1_140,SDG;IPBES,1
net primary production,GA_2.2_37_70;GA_2.2_70_120;IPBES_GA2.2_sup_32,IPBES,0
net primary productivity in forests and on cultivated land,GA_2.3_39_137,IPBES,0
network of communication channels in times of crisis or disaster,GEO_17_8_200,GEO,0
new pests and invasive alien species colonize,GA_2.2_5_55,IPBES,0
nh3 emissions,GEO_12_16_119,GEO,0
nitrogen (n) loads,GA_3_74_399,IPBES,0
nitrogen + phosphate fertilizers (n+p205 total nutrients),GA_1_52_19,IPBES,0
nitrogen surplus (tg n),IPBES_GA3_sup_32,IPBES,0
nitrogen use balance,GA_1_52_19;IPBES_GA3_sup_25,IPBES,0
nitrogen use efficiency,GA_1_52_19,IPBES,0
nitrogenen deposition trends,IPBES_GA2.1_sup_45,IPBES,0
no emissions,GEO_12_16_119,GEO,0
noaa heat index (hi): number of days above 41°c threshold,IPCC_sup_44,IPCC,0
non declining exploited species,GA_1_52_19,IPBES,0
non-co2 fossil-fuel emissions,IPCC_4_79_266,IPCC,0
non-monetary benefits arising from applicable international access and benefit-sharing instruments,GBF_GC_H_8,GBF,1
normalized difference vegetation index (ndvi),IPCC_2_78_126;GEO_3_7_18,IPCC;GEO,0
north atlantic oscillation (nao) index,IPCC_2_84_139;IPCC_3_67_194;IPCC_9_47_438,IPCC,0
northern and southern annular modes (nam and sam),IPCC_4_8_220,IPCC,0
northern annular mode (nam) index,IPCC_2_84_139;IPCC_3_67_194;IPCC_4_26_231;IPCC_4_35_237,IPCC,0
northern hemisphere (mar-apr) snow cover,GEO_2_26_7,GEO,0
northern hemisphere summer monsoon circulation index,IPCC_4_34_236,IPCC,0
northern hemisphere temperature over the last millennium,IPCC_1_67_29,IPCC,0
northernmost location of the treeline,IPCC_2_78_127,IPCC,0
number and coverage of stocks with adaptive management systems/plans,GA_1_52_19,IPBES,0
number and proportion of annual export quotas based on population surveys,CITES_G2.2.2_11,CITES,1
number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,SDG_G2.5.1_22,SDG,1
number of alien and invasive taxa per biogeographic region,IAS_6_21_146,IPBES,0
number of alien taxa,IAS_6_56_150,IPBES,0
number of alliances between cites and relevant international partners to advance cites objective and mainstream conservation and sustainable use of biodiversity,CITES_G5.2.1_51,CITES,1
number of appendix-ii species for which trade is determined to be non-detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,SUA_4_66_123,IPBES,0
number of assessments on the red list index,GBF_T21_CY_252,GBF,1
"number of automated teller machines (atms) per 100,000 adults",SDG_G8.10.1.b_113,SDG,1
number of biodiversity papers published,IPBES_GA3_sup_62,IPBES,0
number of biogeographic regions with risk-associated activities,IAS_6_21_146,IPBES,0
number of capacity-building activities delivered to parties,CITES_G3.7.1_31,CITES,1
"number of centres (visitor centres, interpretation centres, education centres) have been established in ramsar sites",RAMSAR_OG4.16_57,RAMSAR,1
number of centres at other wetlands,RAMSAR_OG4.16_58,RAMSAR,1
number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,GBF_GB_CY_57,GBF,1
number of checkpoint communiques published in the abs clearing-house,GBF_GC_CY_92,GBF,1
number of cites parties that have adopted standard procedures for non-detrimental findings,SUA_4_65_122,IPBES,0
number of cites parties using the cites checklist api,CITES_G3.8.1_34,CITES,1
number of cites parties with increased capacity,SUA_4_68_125,IPBES,0
number of cites-listed species for which parties have designed/implemented relevant sustainable wildlife management policies,CITES_G4.1.1_35,CITES,1
number of cites-listed species for which parties have put in place actions that support sustainable use,CITES_G1.5.2_6,CITES,1
number of cms daughter agreements,GBF_T4_CY_150,GBF,1
"number of commercial bank branches per 100,000 adults",SDG_G8.10.1.a_112,SDG,1
"number of companies disclosing their biodiversity-related risks, dependencies and impacts",GBF_T15_H_39,GBF,1
number of companies publishing sustainability reports,GBF_T15_CY_215;SDG_G12.6.1_169;IPBES_SUA_sup_12.6.1_96,GBF;SDG;IPBES,1
number of consecutive dry days (cdd),IPCC_11_60_550,IPCC,0
number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade,CITES_G5.1.3_48,CITES,1
number of cop side-events where parties present information and tools relevant to the implementation of cites,CITES_G2.2.6_15,CITES,1
number of countries (and number of instruments) with payments for ecosystem services (pes) programmes,GBF_T19_CY_245,GBF,1
"number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species",GBF_T6_H_23,GBF,1
number of countries and institutions that have provided additional funding from cites authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the convention,CITES_G5.3.2_53,CITES,1
"number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices",GBF_T16_H_41;SDG_G12.1.1_160;IPBES_SUA_sup_12.1.1_88,GBF;SDG;IPBES,1
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation",GBF_T1_CY_113;GBF_T3_CY_144,GBF,1
"number of countries implementing natural resource accounts, excluding energy, within the system of environmental economic accounting",VA_4_28_108,IPBES,0
number of countries implementing nbsaps,GA_3_48_377,IPBES,0
number of countries implementing sustainable public procurement policies and action plans,SDG_G12.7.1_170,SDG,1
number of countries implementing the system of environmental economic accounting,VA_4_73_122,IPBES,0
number of countries incorporating trade in their national biodiversity policy,GBF_T5_CY_162,GBF,1
"number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty [reduction][eradication] strategies and accounts at all levels, [ensuring that biodiversity values are mainstreamed] [and] across all sectors [ and fiscal and financial flows are aligned with it]",GBF_T14_H_38,GBF,1
"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources",SDG_G14.c.1_193;IPBES_SUA_sup_14.c.1_120,SDG;IPBES,1
number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,SDG_G17.16.1_253;IPBES_SUA_sup_17.16.1_152,SDG;IPBES,1
"number of countries taking action towards the full, equitable, inclusive, effective and gender-responsive representation and participation in decision-making and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders",GBF_T22_H_50,GBF,1
"number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production",GBF_T15_H_40,GBF,1
"number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",SDG_G16.10.2_233,SDG,1
"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",SDG_G17.5.1_242;IPBES_SUA_sup_17.5.1_143,SDG;IPBES,1
number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030,GBF_T8_C_41;SDG_G1.5.3_9;SDG_G11.b.1_157;SDG_G13.1.2_176;IPBES_SUA_sup_1.5.3_8;IPBES_SUA_sup_11.b.1_86;IPBES_SUA_sup_13.1.2_103,GBF;SDG;IPBES,1
number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,GBF_T17_CY_223,GBF,1
number of countries that establish and implement risk management measures,GBF_T17_CY_224;GBF_T17_CY_229,GBF,1
"number of countries that have (a) assessed values of biodiversity, in accordance with the convention, (b) identified and reported funding needs, gaps and priorities (c)developed national financial plans for biodiversity; (d) been provided with the necessary funding and capacity building to undertake the above activities",GBF_T19_CY_246,GBF,1
"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",GBF_T13_CY_209;SDG_G15.6.1_202;GA_1_52_19;IPBES_SUA_sup_15.6.1_128,GBF;SDG;IPBES,1
number of countries that have established national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020 in their national biodiversity strategy and action plans and the progress reported towards these targets,SDG_G15.9.1.a_205;IPBES_SUA_sup_15.9.1.a_131,SDG;IPBES,1
"number of countries that have integrated biodiversity values into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting (seea)",VA_4_73_122,IPBES,0
number of countries that have national statistical legislation that complies with the fundamental principles of official statistics,SDG_G17.18.2_256;IPBES_SUA_sup_17.18.2_155,SDG;IPBES,1
number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,SDG_G11.a.1_156;IPBES_SUA_sup_11.a.1_85,SDG;IPBES,1
number of countries that have ratified the nagoya protocol,GA_3_175_446,IPBES,0
number of countries that have taken action to implement biosafety measures as set out in article 8(g) of the convention and measures for the handling of biotechnology and the distribution of its benefits as set out in article 19,GBF_T17_H_42,GBF,1
"number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources",GBF_GC_H_9;GBF_T13_H_37,GBF,1
"number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation",GBF_T20_H_48,GBF,1
number of countries that have the necessary biosafety legal and administrative measures in place,GBF_T17_CY_220,GBF,1
number of countries that have the necessary measures and means for detection and identification of products of biotechnology,GBF_T17_CY_222,GBF,1
number of countries that implement their biosafety measures,GBF_T17_CY_221,GBF,1
number of countries that require prior informed consent that have published information on abs procedures in the abs clearing-house,GBF_T13_CY_208,GBF,1
"number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the abs clearing-house",GBF_T13_CY_207,GBF,1
number of countries using ecosystem-based approaches to managing marine areas,SDG_G14.2.1_185;IPBES_SUA_sup_14.2.1_112,SDG;IPBES,1
number of countries using natural capital accounts in planning processes,GBF_T1_CY_105,GBF,1
number of countries using ocean accounts in planning processes,GBF_T1_CY_109,GBF,1
"number of countries using participatory, integrated and biodiversity-inclusive spatial planning or effective management processes to address land and sea use change",GBF_T1_H_16,GBF,1
number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,GBF_T22_CY_259,GBF,1
"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",SDG_G17.18.3_257;IPBES_SUA_sup_17.18.3_156,SDG;IPBES,1
number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity,GBF_T8_H_26,GBF,1
number of countries with biodiversity relevant charges and fees,GBF_T18_CY_232,GBF,1
number of countries with biodiversity relevant taxes,GBF_T18_CY_231,GBF,1
number of countries with biodiversity relevant tradable permit schemes,GBF_T18_CY_233,GBF,1
number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces,GBF_T12_H_34,GBF,1
number of countries with developed or revised nbsaps,GA_1_52_19,IPBES,0
number of countries with implementation of the system of environmental economic accounting,GBF_T14_C_56,GBF,1
"number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",SDG_G5.6.2_77,SDG,1
number of countries with legal and technical measures for restoration and compensation,GBF_T17_CY_226,GBF,1
"number of countries with legal, administrative or policy frameworks, including the gender plan of action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the convention, including by ensuring women’s equal rights and access to land and natural resources",GBF_T23_H_51,GBF,1
number of countries with mechanisms in place to enhance policy coherence of sustainable development,SDG_G17.14.1_251;IPBES_SUA_sup_17.14.1_150,SDG;IPBES,1
number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,GBF_T17_CY_230,GBF,1
"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",IPBES_SUA_sup_10.7.2_75,IPBES,0
"number of countries with national instruments on biodiversity relevant taxes, charges and fees",GA_1_52_19,IPBES,0
number of countries with national instruments on biodiversity relevant tradable permit schemes,GA_1_52_19,IPBES,0
number of countries with national instruments on redd plus schemes,GA_1_52_19,IPBES,0
"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",SDG_G13.2.1_178;IPBES_SUA_sup_13.2.1_105,SDG;IPBES,1
"number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature's contributions to people, including ecosystem functions and services",GBF_GB_H_6,GBF,1
number of countries with policies to secure that [fish] mortalities are accounted for and kept within safe biological limits,SUA_2_90_65,IPBES,0
number of countries with regulations requiring recovered of depleted species,SUA_2_90_65,IPBES,0
number of countries with systems to track and make public allocations for gender equality and women's empowerment,GBF_T22_CY_256;GBF_T23_CY_267,GBF,1
number of days with snow water equivalent >100 mm (swe100) over the snow season (nov-mar for nh),IPCC_sup_51,IPCC,0
"number of days with tmax >35°c or 40°c (tx35, tx40)",IPCC_sup_43,IPCC,0
"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",GBF_T11_C_49;GBF_GB_CY_72;SDG_G1.5.1_7;SDG_G11.5.1_148;SDG_G13.1.1_175;IPBES_SUA_sup_1.5.1_6;IPBES_SUA_sup_11.5.1_81;IPBES_SUA_sup_13.1.1_102,GBF;SDG;IPBES,1
"number of disruptions to basic services, attributed to disasters",SDG_G11.5.3.b_151,SDG,1
number of events submitted to the world wildlife day website,CITES_G4.3.5_42,CITES,1
number of extintions,GA_3_40_367,IPBES,0
number of followers on cites social media platforms,CITES_G4.3.3_40,CITES,1
number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,GBF_GB_CY_81,GBF,1
number of frost days below 0°c (fd),IPCC_sup_46,IPCC,0
number of frost days: annual count of days when tn (daily minimum temperature) <0°c,IPCC_sup_10,IPCC,0
number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),GBF_T3_CY_134,GBF,1
number of icing days: annual count of days when tx (daily maximum temperature) <0°c,IPCC_sup_9,IPCC,0
"number of implemented cooperation agreements between the secretariat and multilateral environmental agreements (meas), including the biodiversity liaison group (blg) and other biodiversity-related conventions",CITES_G5.1.5_50,CITES,1
number of internationally recognized certificates of compliance for non-commercial purposes,GBF_GC_CY_93,GBF,1
number of internet references to the ramsar convention,RAMSAR_OG4.16_53,RAMSAR,1
number of internet references to world wetland day activities,RAMSAR_OG4.16_52,RAMSAR,1
number of invasive alien species in national lists as per the global register of introduced and invasive species,GBF_T6_CY_167,GBF,1
number of invasive alien species introduction events,GBF_T6_C_35;GA_3_72_395;IPBES_GA3_sup_33,GBF;IPBES,1
number of invasive species that are being controlled through management actions,RAMSAR_SG1.4_12,RAMSAR,1
"number of key identified hashtags (e.g. #cites, #citescop19 #worldwildlifeday, etc.) on cites social media",CITES_G4.3.4_41,CITES,1
"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",GBF_T8_CY_184;SDG_G13.b.1_182;IPBES_SUA_sup_13.b.1_109,GBF;SDG;IPBES,1
number of meetings/cop where representatives of other international bodies report on relevant activities to cites parties,CITES_G4.4.1_43,CITES,1
"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",GBF_GB_CY_82,GBF,1
number of msc chain of custody certification holders by distribution country,GBF_T5_CY_165;GBF_T9_CY_189,GBF,1
"number of new hiv infections per 1,000 uninfected population, by sex, age and key populations",SDG_G3.3.1_32,SDG,1
"number of new, unique visits to the cites website",CITES_G4.3.1_38,CITES,1
number of notifications to the parties issued by the cites secretariat relating to international actions for sustainable development that may have a bearing on achieving the goal of cites,CITES_G4.4.3_45,CITES,1
number of parties cooperating / collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities,CITES_G5.1.2_47,CITES,1
number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements,CITES_G5.3.1_52,CITES,1
"number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap), also included in the global and national strategies for plant conservation under cbd programme",CITES_G4.2.1_37,CITES,1
number of parties making use of the simplified procedures provided for in resolution conf. 12.3 (rev. cop19),CITES_G3.1.2_22,CITES,1
number of parties meeting their obligations with regard to their assessed contributions to the trust fund,CITES_G3.3.1_26,CITES,1
number of parties reporting in implementation reports of activities taken to address corruption,CITES_G3.6.1_30,CITES,1
"number of parties sharing information relevant to the implementation of cites (e.g. shared databases, data visualization/software, information-sharing focused tools, etc.)",CITES_G2.2.5_14,CITES,1
number of parties subject to cites recommendations to suspend trade,CITES_G1.1.2_2,CITES,1
number of parties that are in category 1 under the national legislation project,CITES_G1.1.1_1,CITES,1
number of parties that currently lack information for their identified key species most relevant to the implementation of the convention and need assistance to address them,CITES_G2.5.2_20,CITES,1
number of parties that have adopted an electronic system for the issuance of permits,CITES_G3.1.3_23,CITES,1
number of parties that have adopted standard procedures for making non-detriment findings (ndfs),CITES_G2.1.1_7,CITES,1
number of parties that have adopted standard transparent procedures for the timely issuance of permits in accordance with article vi of the convention,CITES_G3.1.1_21,CITES,1
"number of parties that have designated at least one management authority, independent scientific authority and enforcement focal points in place",CITES_G1.2.1_3,CITES,1
number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations,CITES_G1.3.1_4,CITES,1
"number of parties that have included the legal acquisition finding obligation in their national regulatory framework, as recommended by resolution conf. 18.7 (rev. cop19)",CITES_G2.1.3_9,CITES,1
number of parties that have undertaken research (including for non-detriment findings) on their identified key species most relevant to the implementation of the convention,CITES_G2.5.1_19,CITES,1
"number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",SDG_G12.4.1_165,SDG,1
number of parties where criminal offences relating to illegal trade in wildlife (such as illegal hunting/harvest and wildlife trafficking) are recognized as a serious crime,CITES_G3.4.1_28,CITES,1
number of parties which have acceded to the ramsar convention,RAMSAR_OG4.18_68,RAMSAR,1
"number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements",CITES_G5.1.1_46,CITES,1
number of parties who report improvements in their implementation following targeted capacity-building efforts,CITES_G3.7.2_32,CITES,1
number of parties with information on cites and its requirements on their official websites,CITES_G4.3.2_39,CITES,1
"number of parties with training programmes and information resources in place to implement cites, including the making of non-detriment and legal acquisition findings, issuance of permits and enforcement",CITES_G3.2.1_24,CITES,1
number of people living on less than 1.90 usd per day,GEO_21_8_241,GEO,0
number of people migrating,IAS_2_5_11,IPBES,0
number of people requiring interventions against neglected tropical diseases,SDG_G3.3.5_36,SDG,1
"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",GBF_T9_C_44,GBF,1
