indicators_harmonized,ga,sua,va,ias,ipbes,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
rain-use efficiency adjusted ndvi,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,Abiotic conditions,NA
crop yield,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,Ecosystem services,Coverage of basic needs,Specific monetary valuation of nature contribution
soil depth,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,Abiotic conditions,NA
food security,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
soil biodiversity,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
soil quality,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
soil degradation impact on crop productivity,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Direct drivers,NA,Natural drivers,NA
coral reefs distribution and extent,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,State of ecosystems (marine)
mangrove distribution and abundance,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,State of ecosystems (coverage),NA
saltmarsh distribution and abundance,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
coastal forest distribution and extent,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,State of ecosystems,State of ecosystems (coverage)
globally available combined bathy/topo,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,Abiotic conditions,NA
globally available data for waves and wind,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,Knowledge systems,Abiotic conditions,NA
globally available continental shelf,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,State of ecosystems (marine),NA
thousands of deaths each year,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,Knowledge systems,Healthy living conditions,Coverage of basic needs
billions of dollars each year,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,State of economy,NA
fraction of people die due to flood,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Direct drivers,Human well-being,Natural drivers,Healthy living conditions
fraction of people infected with disease of flood,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Direct drivers,NA,Natural drivers,(Infectious) diseases
post-traumatic stress disorder score,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,NA,Wellness,NA
cumulative exposure indicators,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Direct drivers,Ecosystem services,Pollution,Nature contribution
psychological health indicators,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,NA,Wellness,Healthy living conditions
direct tangible damage loss,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Direct drivers,NA,Natural drivers,NA
landscape inundated by the flood,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
"absolute damage to roads and transportation, power plant,etc",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
lowered incidence and impact of hazards,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,NA,Healthy living conditions,NA
lowered flood peaks,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Direct drivers,NA,Natural drivers,NA
lowered fuel load (fires),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Direct drivers,NA,Natural drivers,NA
coastal protection,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,Area conservation,NA
landslides stabilization,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
incidence of hazards,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Direct drivers,NA,Pollution,NA
reduced morbidity and premature mortality,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,NA,Healthy living conditions,NA
reduced property loss,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,Information on society and socio-economics,NA
near- or on-farm habitat diversity,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
landscape complexity,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
abundance of alternative hosts species,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
avoided costs of pesticide use,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,Governance,Healthy living conditions,Nature-based funding
avoided costs of health treatment of vbd,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,Governance,Healthy living conditions,Nature-based funding
reduced pesticide use,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Direct drivers,NA,Pollution,NA
reduced prevalence of vbd,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Direct drivers,NA,(Infectious) diseases,NA
diversity of biological controllers of pests,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
diversity of competent hosts of vector-borne and zoonotic diseases,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Direct drivers,NA,(Infectious) diseases,NA
abundance of wild and managed biological controllers of pests,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
abundance of competent hosts of vector-born and zoonotic diseases,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
avoided pest damage to crop and livestock,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,Governance,Healthy living conditions,Nature-based funding
reduced incidence rate of vector-borne and zoonotic diseases,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Direct drivers,NA,(Infectious) diseases,NA
"tonnage of biomass (sugar cane, corn, palm oil)",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
land area in biomass production,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,State of ecosystems (coverage),NA
tonnage of fuelwood,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
biomass estimates in forests,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,State of ecosystems (integrity),NA
numbers of livestock and use rate,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
"tonnage of biomass (sugar cane, corn, palm oil), other energy crops",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
yield (production) in tonnage,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
biofuel yield in joules or liters,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
"biofuel yield in joules or liters from agricultural/horticultural residue, forestry industry residue, other organic residues or by-products from various industries/process",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
biofuel yield in joules or liters from industrial effluents and/or municipal solid waste,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
biofuel yield joules or liters from algal/microalgae biomass,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
population directly reliant on biomass,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
kwh x price,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,Coverage of basic needs,NA
tons of oil equivalent x price,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,Income,NA
land suitability and extent of bioenergy crop and livestock producing and harvesting areas,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,Ecosystem services,State of ecosystems,Nature contribution
diversity and abundance of species for bioenergy use,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
energy content of bioenergy crops,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
tonnage of animal waste used for energy,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
increased energy security,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
revenue from bioenergy production,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Human assets,Ecosystem services,State of economy,Nature contribution
yield per hectare converted to caloric or nutrient yield,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
agrodiversity and landraces known to date for major crops,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,biodiversity,Nature contribution,State of biodiversity
remote sensing of croplands,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
types of agroecosystems,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
landed catch,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
aquaculture production,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
quantity of fish produced for animal/aquaculture feed,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
mean length of catch,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,biodiversity,Nature contribution,State of biodiversity
large fish indicator,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
trophic level of the landed catch,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
mean length of fish in the community,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,biodiversity,Nature contribution,State of biodiversity
proportion of predatory fish,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
trophic level of the community,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
proportion of non-declining species in the surveyed community,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
change in mean fish size,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Change in biodiversity,NA
trends in fisheries certified by the msc,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
status of assessed fish stocks,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
indicator of unsustainable fisheries (iuu),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
ebfm performance index,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems
fisheries management effectiveness index,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
fisheries management index,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
value of production,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,State of economy,NA
value of catch,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,Ecosystem services,State of economy,Nature contribution
"nutritional output (calories, nutrients)",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,NA,Healthy living conditions,NA
farm size distribution,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
nutrition derived from fish,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,NA,Healthy living conditions,NA
fisheries revenues,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
gross value added (gva),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,State of economy,NA
potential catch loss,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
production of fish meal and fish oil use in aquaculture/animal feeds,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
number of jobs,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,Coverage of basic needs,NA
arable land remaining,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
kcal capita,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
dietary diversity,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
hunger,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
malnutrition,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
timber harvest (m3/ha/year),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
grass/fodder (kg),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
bamboos and rattans market value,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
market value,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,State of economy,NA
gums (kg),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
resins (kg),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
latexes (kg),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
oil (kg),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
waxes (kg),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
tannins (kg),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
dyes (kg),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
cork (kg),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
bark (kg),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
cotton (t/ha),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
flax (t/ha/year)),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
jute yields (t/ha/year),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
sisal yields (t/ha/year),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
hemp yields (t/ha/year),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
silk cocoons (t/hear),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
coral solid units (number/year),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
pearls sold units (number/year),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
shell sold units (number/year),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
ornamental plants sold units (number/year or kg/year),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
pet fish sold units (number and species diversity/year),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
pet bird sold units (number and species diversity/year),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
pet reptile sold units (number and species diversity/year),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
pet amphibian sold units (number and species diversity/year),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
"other living organism for assistance number, stock density (number of horse/household)",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
health benefits provide by companion animals,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,Ecosystem services,Healthy living conditions,Nature contribution
"supply of fiber crops, resins, gum arabic",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
trade of silk,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,Ecosystem services,Income,Nature contribution
"production of industrial roundwood, paper pulps",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
export and import of commodity data,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Knowledge systems,NA,NA,NA
export and import data,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Knowledge systems,NA,NA,NA
number of traded live animals/plants listed in cites databases,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
land suitability and extent of cotton producing area,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ecosystems,Ecosystem services,State of ecosystems,Nature contribution
volume of round wood production,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
tonnage of cotton production,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
number of people employed in forest industry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,Coverage of basic needs,NA
"number of people employed in garment industry (include fibre, cotton industry)",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,Coverage of basic needs,NA
map of medicinal plants overlaying plant richness at the global level,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
percentage of new drugs discovered over the last 30 years based on natural medicinal products,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
"biodiversity with high potential for having bioactive principles for medicines or represent genetic resources useful for medicines agriculture or other purposes, that have been identified locally through ilk or by other knowledge systems at global levels for health treatments or other purposes (agriculture or other)",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
medicinal plants known to date and accessible for health care as a proxy for all natural medicinal products (national medicines policies),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
genetic resources and especially agrodiversity known to date and its linkage to food security,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,biodiversity,NA,Genetic resources,NA
more than 25% of new chemical entities developed for drugs for all diseases treated at the global level over the last 30 years are derived from natural products or chemical leads from national medicines policies and more than 70% of drugs to treat cancers derive directly from national medicines policies,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,Ecosystem services,Healthy living conditions,Nature contribution
percentage of world population relying almost entirely on national medicines policies,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human well-being,Ecosystem services,Healthy living conditions,Nature contribution
percentage of modern drugs based on national medicines policies or bio-inspired molecules used for diseases at the global level,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
"percentages of wild plant collection harvested, traded",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
new drugs production and sales,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Human assets,NA,Coverage of basic needs,NA
